username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data,,,,,
";2018-02-07 03:25;3;5;""Recent Rings Of fire # Earthquake Activities 1 # Taiwan east # Hualien 2 # Indonesia Mount # Sinabung Eruption & West Java 6.0 4 Indonesia Mount # Agung erupts 5 # Philippines Mount # mayon Volcano eruptions 6 # Japan # Kusatsu-Shirane # Eruption 7 # USA Alaska 7.9"";;;# # # # # # # # # # # #;""960957624907833344"";https://twitter.com/Untold_Book/status/960957624907833344",,,,,,
";2018-02-07 02:29;0;0;""(56","000 # People # Flee as # Philippines ...) Top ... - http://xtrenz.com/2018/02/06/56000-people-flee-as-philippines-volcano-spews-lava/ … #2018 # Ash # AshCloud # AshPlume # Asia # Asian # Disaster # Earth # Erupting # Eruption # Erupts # Evacuate # Evacuation # EvacuationCentres # Fire # Gdnpfpnewsworld # LavaFlow # Mayon # MayonEruption # MayonPhilippinespic.twitter.com/UCSiVJk3LM"";;;# # # #2018 # # # # # # # # # # # # # # # # # # #;""960943436978270208"";https://twitter.com/xtrenz/status/960943436978270208",,,,,
";2018-02-05 23:06;0;0;""The # Mayon # volcano near # Legazpi city spews molten lava during an eruption", in # Albay," # Philippines . (Bullit Marquez / AP) . https://pow.photos/2018/international-pow-23-29-january/ … https://www.instagram.com/p/Be0cZqfjpaP/ pic.twitter.com/DFL6CJixoZ"";;;# # # # #;""960530190995730432"";https://twitter.com/ghazayel/status/960530190995730432",,,,
";2018-02-05 09:04;0;1;""Authorities warn violent eruption may occur at # Mayon # volcano February 5", 2018 8:27am According to a report by Ivan Mayrina on Unang Balita on Monday," PHIVOLCS is still unsure if Alert Level 4 around the volcano can be lowered.https://www.youtube.com/watch?v=uZ-uQBe_qn0 …"";;;# #;""960318133469962240"";https://twitter.com/NewsKali/status/960318133469962240",,,,
";2018-02-05 01:13;0;2;""Retweeted ESA EarthObservation ( @ ESA_EO): . @ CopernicusEU # Sentinel2 captures Mount # Mayon eruption: here we see... https://fb.me/1cqhq9nRE"";;@ @;# #;""960199667681316864"";https://twitter.com/J_Ramos_CIEM/status/960199667681316864",,,,,,
";2018-02-05 00:17;100;207;"". @ CopernicusEU # Sentinel2 captures Mount # Mayon eruption: here we see the volcano in natural colour & in false colour. Then two shortwave infrared bands reveal the hot lava spilling from the cone. pic.twitter.com/doGJ2x8Ow1"";;@;# #;""960185478610898945"";https://twitter.com/ESA_EO/status/960185478610898945",,,,,,
";2018-02-04 15:18;0;3;""In the wake of Mount # Mayon's eruption"," @ UNFPAph is helping ensure the safety and dignity of displaced women and girls http://bit.ly/2rEFo7J pic.twitter.com/pLdTehWysh"";;@;#;""960049795988643840"";https://twitter.com/UNFPAasia/status/960049795988643840",,,,,
";2018-02-04 13:51;9;13;""Mount # Mayon # Volcano eruption & lava flows in the # Philippines captured by Sentinel-2 (30/01/2018) 1. Various band combinations to highlight features effectively 2. All processed at 10m-res. with rapid automated approaches # sentinel2 @ CopernicusEMS @ CopernicusEU @ ESA_EOpic.twitter.com/BTJCNLYrz0"";;@ @ @;# # # #;""960028090398199813"";https://twitter.com/BigDataEarth/status/960028090398199813",,,,,,
";2018-02-04 13:43;13;20;""Mount # Mayon # Volcano eruption & lava flows in the # Philippines captured by Sentinel-2 imagery (30 Jan. 2018) - 3D visualisation in Google Earth Video - https://youtu.be/ATNcg24iYC8 # sentinel2 @ CopernicusEMS @ CopernicusEU @ ESA_EOpic.twitter.com/5GbxwbZHqF"";;@ @ @;# # # #;""960025985931386880"";https://twitter.com/BigDataEarth/status/960025985931386880",,,,,,
";2018-02-02 15:18;0;1;""In the wake of Mount # Mayon's eruption"," @ UNFPAph is helping ensure the safety and dignity of displaced women and girls http://bit.ly/2rEFo7J pic.twitter.com/vrojIFM4dM"";;@;#;""959325022505480192"";https://twitter.com/UNFPAasia/status/959325022505480192",,,,,
";2018-02-02 05:42;18;35;""# Mayon volcano eruption on 31 January", by @ phivolcs_dost. A beautiful eruption," but many people are displaced because of it. Volcanoes affect lives around the world every day. https://www.facebook.com/PHIVOLCS/ # VolcanoCuppic.twitter.com/0YNwSi1O1m"";;@;# #;""959180170581200896"";https://twitter.com/janinekrippner/status/959180170581200896",,,,
";2018-02-02 01:52;5;2;""The Weekly Volcanic Activity Report: January 24 - 30"," 2018 http://dlvr.it/QDbZ2x # volcano # eruption # Kadovar # KusatsuShirane # Mayon"";;;# # # # #;""959122314443935744"";https://twitter.com/TheWatchers_/status/959122314443935744",,,,,
";2018-02-01 22:44;5;8;""Different facets of the Mount # Mayon volcanic eruption in the # Philippines captured by @ CopernicusEU # sentinel2 http://www.esa.int/spaceinimages/Images/2018/02/Mayon_lava …pic.twitter.com/g6zeVLke2v"";;@;# # #;""959075076229488641"";https://twitter.com/HonoraRider/status/959075076229488641",,,,,,
";2018-02-01 22:28;1;0;""Voyez le Mont # Mayon en éruption à travers les capteurs de # Sentinel2 @ ESA_EO @ CopernicusEU # Télédétection https://twitter.com/ESA_EO/status/959061303200567297 …"";;@ @;# # #;""959070912837373952"";https://twitter.com/AqtOfficiel/status/959070912837373952",,,,,,
";2018-02-01 18:23;10;29;""Five tents requested for the continuity of the educational activities that were disrupted by the # Mayon volcano eruption were delivered to @ philredcross with the participation of Chairman of the Philippine Red Cross and Turkey's Ambassador to # Manila.pic.twitter.com/dFw6itiyc8"";;@;# #;""959009256434491392"";https://twitter.com/TurkKizilay/status/959009256434491392",,,,,,
";2018-02-01 15:15;0;0;""Mount Mayon", February 1," 2018 # volcano # mayon # mountmayon # volcanoes # eruption… https://www.instagram.com/p/BepTRmUDnWL/"";;;# # # # #;""958961973739343872"";https://twitter.com/LeavingHolland/status/958961973739343872",,,,
";2018-01-31 22:30;0;0;""Mayon volcano has an explosive eruption and Philippine authorities have raised alert to level four # mayon https://dragplus.com/post/id/43017309 …"";;;#;""958709031564083201"";https://twitter.com/blues_dp/status/958709031564083201",,,,,,
";2018-01-31 22:30;0;0;""Mayon volcano has an explosive eruption and Philippine authorities have raised alert to level four # mayon https://dragplus.com/post/id/43017309 …"";;;#;""958709029366386688"";https://twitter.com/seattlewa_dp/status/958709029366386688",,,,,,
";2018-01-31 18:17;4;2;""Thanks to @ officialdohgov"," @ UNFPA dignity kits reached pregnant women and new mothers displaced by # Mayon Volcano eruption. Read more: http://bit.ly/2rEFo7J pic.twitter.com/fMGha2ays3"";;@ @;#;""958645294236762113"";https://twitter.com/UNFPAph/status/958645294236762113",,,,,
";2018-01-31 10:50;0;3;""Ash"," ash everywhere from # Mayon eruption http://str.sg/oUyW pic.twitter.com/UN3emqTQ0g"";;;#;""958532789732704256"";https://twitter.com/STcom/status/958532789732704256",,,,,
";2018-01-31 10:35;0;0;""Use non-hyped", unscientific terms. Super # perigee (pronounced /pe-ri-ji/) Blue this doesn't even carry any scientific merit! Blood moon total # LunarEclipse And no, it's not an omen," and it will not worsen # Mayon 's eruption. ;) https://www.wired.com/story/dont-call-it-a-blood-moon-or-supermoon-or-blue-moon/ …"";;;# # #;""958529149051666432"";https://twitter.com/ronxronquillo/status/958529149051666432",,,
";2018-01-31 01:30;12;8;""Aux Philippines"," l'éruption du volcan # Mayon fait des heureux : les touristes @ ayeemacaraig # AFPpic.twitter.com/LLw7d0ERJX"";;@;# #;""958391872866545664"";https://twitter.com/afpfr/status/958391872866545664",,,,,
";2018-01-31 01:26;0;0;""L’éruption du volcan philippin dope le tourisme # mayon http://bit.ly/2rNeHxw pic.twitter.com/uiaIVihObv"";;;#;""958391100816977920"";https://twitter.com/leditiondusoir/status/958391100816977920",,,,,,
";2018-01-30 23:09;0;0;""OCHA: # Mayon volcano eruption update http://crofsblogs.typepad.com/h5n1/2018/01/ocha-mayoon-volcanic-eruption-update.html …"";;;#;""958356472894648320"";https://twitter.com/Crof/status/958356472894648320",,,,,,
";2018-01-30 19:00;0;0;""# WEDDING during # MAYON'S ERUPTION A volcanic eruption wasn't going to ruin this # Filipino # couple's big day","... https://fb.me/4lHIWogIt"";;;# # # #;""958293895363768321"";https://twitter.com/SeverinoPlanas/status/958293895363768321",,,,,
";2018-01-30 18:03;2;0;""# Philippines L'éruption du volcan # Mayon fait les affaires de l'industrie touristique dans une région très pauvre par @ CNEWSpic.twitter.com/j0jUDhKp76"";;@;# #;""958279565737996291"";https://twitter.com/AsiaNews_FR/status/958279565737996291",,,,,,
";2018-01-30 16:50;16;8;""Philippines L'éruption du volcan # Mayon fait les affaires de l'industrie touristique dans une région très pauvre pic.twitter.com/Bj652NrWPg"";;;#;""958261220334764032"";https://twitter.com/CNEWS/status/958261220334764032",,,,,,
";2018-01-30 15:47;2;1;""NOAA HYSPLIT Ash dispersion model for 29 January eruption of Mayon Volcano. This is why Guinobatan"," Camalig and parts of Daraga experienced heavy ash fall. # MayonVolcano # science # albay # Philippines # eruption # volcano # Mayon # nature # naturalhazardspic.twitter.com/28lPAiDvdS"";;;# # # # # # # # #;""958245380679901186"";https://twitter.com/raymondmaximo77/status/958245380679901186",,,,,
";2018-01-30 15:18;1;1;""In the wake of Mount # Mayon's eruption"," @ UNFPAph is helping ensure the safety and dignity of displaced women and girls http://bit.ly/2rEFo7J pic.twitter.com/UQJTgK4MVy"";;@;#;""958237860133564416"";https://twitter.com/UNFPAasia/status/958237860133564416",,,,,
";2018-01-30 15:08;6;1;""DSWD to suspend conditionalities for 4Ps beneficiaries affected by Mayon eruption. Read full story here at: http://www.dswd.gov.ph/19750-2/ # DSWDMayMalasakit # DSWDParaSaNakararami # Mayon # MayonVolcanopic.twitter.com/3F2P8GlWUL"";;;# # # #;""958235533603258368"";https://twitter.com/dswdserves/status/958235533603258368",,,,,,
";2018-01-30 10:39;0;2;""Experience a 360° aerial view of Mayon Volcano's eruption from the vantage point of Legazpi City. # Mayon # MayonVolcano # MtMayon # Albay # Legazpi # Aerial # Drone # Philippines # MountMayon # Volcanohttps://www.projectlupad.com/mayon-volcano-eruption-aerial-view-from-legazpi-city/ …"";;;# # # # # # # # # #;""958167732968554496"";https://twitter.com/ProjectLUPAD/status/958167732968554496",,,,,,
";2018-01-30 07:57;0;1;""Mount Mayon (Mayon Volcano) in the Bicol Region Philippines Years Ago # volcano # stratovolcano # albay # mayon # mountmayon # bicol # bicolregion # philippines # eruption # perfectcone # clouds # green # cone # ringoffire # active # pacificringoffirepic.twitter.com/E0MsoNiZzh"";;;# # # # # # # # # # # # # # # #;""958126971900194816"";https://twitter.com/taylortrailing/status/958126971900194816",,,,,,
";2018-01-30 05:38;0;1;""Mayon Eruption: How Much Worse Could That Eruption in the Philippines Get? # MayonVolcano # Mayon # eruption # volcano http://strangesounds.org/2018/01/mayon-eruption-how-much-worse-could-that-eruption-in-the-philippines-get.html … via @ Strange_Soundspic.twitter.com/NiFOyDaveA"";;@;# # # #;""958091884970131457"";https://twitter.com/NewsKali/status/958091884970131457",,,,,,
";2018-01-30 04:57;2;1;"""" # Mayon Eruption: How Much Worse Could That Eruption in the # Philippines Get?"" # gsmVolcano http://strangesounds.org/2018/01/mayon-eruption-how-much-worse-could-that-eruption-in-the-philippines-get.html …"";;;# # #;""958081637769560064"";https://twitter.com/IceAgeFarmer/status/958081637769560064",,,,,,
";2018-01-30 03:08;13;7;""Mayon Eruption: How Much Worse Could That Eruption in the Philippines Get? # MayonVolcano # Mayon # eruption # volcano http://strangesounds.org/2018/01/mayon-eruption-how-much-worse-could-that-eruption-in-the-philippines-get.html … via @ Strange_Soundspic.twitter.com/Fa8JWQ9cHJ"";;@;# # # #;""958054352090001409"";https://twitter.com/Strange_Sounds/status/958054352090001409",,,,,,
";2018-01-30 01:43;0;0;""# Volcano # Eruption Makes for an # Epic Wedding Photo https://goo.gl/fb/KkWnYU # miscellaneous # mayon # newlyweds"";;;# # # # # #;""958032826741526528"";https://twitter.com/SimonArtPhotos/status/958032826741526528",,,,,,
";2018-01-29 22:48;0;0;""# Philippines – Eruption du volcan ‘ # Mayon’ : l’œuvre salésienne de Legazpi coordonne l’action sociale du diocèse http://www.infoans.org/fr/sections/nouvelles/item/4784-philippines-eruption-du-volcan-mayon-l-oeuvre-salesienne-de-legazpi-coordonne-l-action-sociale-du-diocese …pic.twitter.com/gzA6OFTbqV"";;;# #;""957988870871748609"";https://twitter.com/infoANS_FR/status/957988870871748609",,,,,,
";2018-01-29 22:27;9;30;""RT MillennialsFTW: SPOTTED: As 10:50am January 28"," 2018 (Sunday) ‘Mayon Volcano nag pakitang gilas’ # MayonVolcano # Mayon # Albay # Bicol # Philippines # Eruption pic.twitter.com/Ydjx3Ii1zu"";;;# # # # # #;""957983437591404545"";https://twitter.com/unseenhugots/status/957983437591404545",,,,,
