username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data
;2018-01-11 21:25;3;41;"Manisa Birinci Piyade Eğitim Tugay Komutanı Albay Güven Dere’yi makamımızda ağırladık. pic.twitter.com/FzFqN4fO8H";;;;"951444865241571329";https://twitter.com/cengizergun/status/951444865241571329
;2018-01-11 21:21;0;0;"I liked a @ YouTube video http://youtu.be/jwNNrJx13Ck?a 6 Nintendo Switch Rumors Ahead of the January Nintendo Direct";;@;;"951443876920877057";https://twitter.com/martayvis_albay/status/951443876920877057
;2018-01-11 21:07;3;9;"Ebu Zuhur havaalanı savaşında Suriye ordusu birliklerine komuta eden Albay Mahir Kahtan İbrahim öldürüldü. Silahlı gruplar operasyon odası kurdu. https://twitter.com/alhayat_syria/status/951436853030346754 …";;;;"951440552066797568";https://twitter.com/Alptekin_D/status/951440552066797568
;2018-01-11 21:06;0;0;"Bu Modriç ne oluyo bu kadroda adamı beğenmeyen bi benmiyim";;;;"951440059441565696";https://twitter.com/yalc_albay/status/951440059441565696
;2018-01-11 21:05;0;0;"Hayır bir de poz veriyor şapşik albay :) biri şu kuşa başımın… https://www.instagram.com/p/Bdz2rd2FRgZ1ZxGyZsJuJDP9slq_Sh396xzyxc0/ …";;;;"951440006241021952";https://twitter.com/alpagualgan/status/951440006241021952
;2018-01-11 21:02;0;0;"I liked a @ YouTube video http://youtu.be/s71nt897WY0?a 10 WORST NINTENDO SWITCH GAMES SO FAR";;@;;"951439062061211648";https://twitter.com/martayvis_albay/status/951439062061211648
;2018-01-11 20:58;0;2;"TIWI ALBAY REPRESENT!!!";;;;"951438139532369920";https://twitter.com/korbilya/status/951438139532369920
;2018-01-11 20:55;0;1;"LIGAO ALBAY YEZ HAHAHAHA";;;;"951437312558166016";https://twitter.com/VEROrowurboat/status/951437312558166016
;2018-01-11 20:42;0;0;"LEGAZPI, ALBAY plsssss";;;;"951434036378939393";https://twitter.com/clareeyyyyy/status/951434036378939393
;2018-01-11 20:41;0;0;"ALBAY";;;;"951433858322382848";https://twitter.com/clareeyyyyy/status/951433858322382848
;2018-01-11 20:40;0;0;"PA ALBAY NANAMAN";;;;"951433557376827392";https://twitter.com/clarenderia/status/951433557376827392
;2018-01-11 20:26;0;0;"MANİSA SU VE KANALİZASYON İDARESİ (MASKİ) GENEL MÜDÜRLÜĞÜ, ALBAY ARİF SEYHUN KIŞLASI İÇERİSİNDE YER ALAN DEREDE BA - http://bit.ly/2AQx8ki";;;;"951430201984110592";https://twitter.com/81haber/status/951430201984110592
;2018-01-11 20:25;0;0;"PIA-5/ALBAY: To avoid the recurrence of the flood last January 03, 2018, the city government of Legazpi will be... https://fb.me/7tiW47JMb";;;;"951429819861905408";https://twitter.com/DisasterInfoPH/status/951429819861905408
;2018-01-11 20:06;0;0;"Güzin Albay'a yaz istersen :)";;;;"951424976309182464";https://twitter.com/mervethemermaid/status/951424976309182464
;2018-01-11 20:04;0;1;""Umut karın doyurmaz" dedi kadın. "Karın doyurmaz ama insanı ayakta tutar" diye yanıtladı albay. Gabriel Marquez";;;;"951424493951574016";https://twitter.com/hzndlgasi/status/951424493951574016
;2018-01-11 19:59;6;6;"Sana makasama dito ang mclisse @ hashtag_mccoydl at @ elissejoson";;@ @;;"951423359891288065";https://twitter.com/julie_albay/status/951423359891288065
;2018-01-11 19:43;0;0;"https://youtu.be/048B4jebLFA ang cute Nina ian at McCoy he he";;;;"951419413000986625";https://twitter.com/julie_albay/status/951419413000986625
;2018-01-11 19:33;0;3;"Belli bi yaştan sonra cozutan Emekli albay değil mi bu yaa ? https://twitter.com/gazetesozcu/status/951328234767044608 …";;;;"951416781981278210";https://twitter.com/vurdumduymazon/status/951416781981278210
;2018-01-11 19:33;6;17;"# GSBBalıkesirGençlikMerkezi tanıtım faaliyetlerimiz için Albay Tayyar Nuran Oğuz Anadolu Lisesindeyiz... pic.twitter.com/1JUlcY9oTF";;;#;"951416710183124993";https://twitter.com/Balikesir_GM/status/951416710183124993
;2018-01-11 19:30;0;0;"Pics taken at Mirisbiris Resort at Sto. Domingo / Bacacay, Albay, Bicol # nature # photography… https://www.instagram.com/p/BdzrzJ6nkRY/";;;# #;"951416080739831808";https://twitter.com/mika_ivy/status/951416080739831808
;2018-01-11 19:28;17;45;"NASA starmagic office ngayon si @ hashtag_mccoydl gwapopic.twitter.com/e9u521CqMu";;@;;"951415494338256896";https://twitter.com/julie_albay/status/951415494338256896
;2018-01-11 19:25;0;0;"Mayor daw © hashtag vitto igs @ hashtag_mccoydlpic.twitter.com/KbEQMAy0CD";;@;;"951414693574336512";https://twitter.com/julie_albay/status/951414693574336512
;2018-01-11 19:22;1;0;"Eksik öğünlerle günü tamamladık. İki gün Sonra diğer arkadaşlarımı ve beni farklı illere dağıttılar yine benim bu seferki yerim Fethiye.Tüm bunlardan daha komik bir şey varsa o da ankara Mamak ta kalan arkadaşlarım için imzalan kitapları denetleyen albay "bu kitapta ayet var +";;;;"951414129994190850";https://twitter.com/Mollagonzo/status/951414129994190850
;2018-01-11 19:17;0;0;"PIA-5/ALBAY: The Central Bank of the Philippines Legazpi City branch has released a statement today explaining... https://fb.me/913JVqdHX";;;;"951412826794475520";https://twitter.com/DisasterInfoPH/status/951412826794475520
;2018-01-11 19:08;0;1;"Metalcilerin çoğu milliyetçidir. MHP liler GÖT KILI...... Albay sağ olsaydı; sizi bu yaş da odunla kovalardı şerefsizler............ https://twitter.com/mywayTurkey/status/950956839876866048 …";;;;"951410520074137600";https://twitter.com/urungukul/status/951410520074137600
;2018-01-11 19:07;0;1;"Mag kasama pa kayo ni michael?";;;;"951410158260768768";https://twitter.com/albay_shara/status/951410158260768768
;2018-01-11 19:01;19;49;"Sana sa 2018 sana ang mclisse maging successful ang first movie , magkaroon ng sariling teleserye , magkaroon ng maraming mall show , at sana makapag out of country show silang dalawa @ hashtag_mccoydl @ ElisseJoson";;@ @;;"951408777391104000";https://twitter.com/julie_albay/status/951408777391104000
;2018-01-11 18:56;0;0;"beaut @Mt. Mayon, Albay, Bicol https://www.instagram.com/p/Bdzn5xPHOvPRgj76U_HhjqexfmGitPWaNyRssM0/ …";;@Mt;;"951407526943211521";https://twitter.com/krishyramirez/status/951407526943211521
;2018-01-11 18:56;0;0;"lakas ng amats nila albay kanina sa ap hahaha";;;;"951407505061457920";https://twitter.com/cyril_macahilas/status/951407505061457920
;2018-01-11 18:43;0;2;"Gusto ko maging successful ang first lead movie ng mclisse @ hashtag_mccoydl at @ elissejoson";;@ @;;"951404083490910209";https://twitter.com/julie_albay/status/951404083490910209
;2018-01-11 18:41;1;7;"Yazidaki "elebaşları 1 tuğgeneral, 2 kurmay albay, 2 yarbay, 1 binbaşı ve 4 azılı, gözü dönmüş silahlı teğmeni ikna ederek teslim alıyor"bu kisma gelince 1. 1 tuggenral,2 Albay,4 teg.karargah binasindan alinmistir bilginiz yanlis ++";;;;"951403751755124738";https://twitter.com/tankcitegmen3/status/951403751755124738
;2018-01-11 18:37;1;7;"++kim bu bahsedilen "kahraman" albay C.T. olaya bakin simdi Terör saldırısının yalan olduğunu anlar anlamaz hakereket gecmis kacta 5:30... kahramanimiz albay C.T. gece birfinge katilanlardan yani 1-1:30 civarinda her seyi ogrenenlerden niye o zaman ekibine hareket emri vermemis++";;;;"951402677073793025";https://twitter.com/tankcitegmen3/status/951402677073793025
