username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-02-01 00:03;0;0;"Ayon sa PHIVOLCS, importante na nakaantabay para sa mga ulat tungkol sa lagay ng panahon lalo na kung nakatira sa lugar na maaaring daluyan ng lahar. # RedAlert # BantayMayon pic.twitter.com/T99OrcvCs9";;;# #;"958732512557088768";https://twitter.com/ABSCBNRedAlert/status/958732512557088768
;2018-02-01 00:02;0;0;"November 30, 2006 nang binayo ng Bagyong Reming ang Bicol Region. Sa ‘di inaasahan, natabunan ng rumaragasang lahar ang ilang komunidad malapit sa bulkan. # RedAlert # BantayMayon";;;# #;"958732351386693632";https://twitter.com/ABSCBNRedAlert/status/958732351386693632
;2018-01-31 23:59;0;0;"Noong Enero 27, rumagasa ang lahar sa Binaan Channel sa Daraga, Albay. Nagkaroon din ng sediment-laden stream flow sa Brgy. Masarawag sa Guinobatan, Albay. # RedAlert # BantayMayon";;;# #;"958731477818097664";https://twitter.com/ABSCBNRedAlert/status/958731477818097664
;2018-01-31 23:59;0;0;"Nagbabala rin ang PHIVOLCS sa posibilidad ng sediment-laden stream flow o baha na mahalong buhangin, abo at bato. # RedAlert # BantayMayon";;;# #;"958731388441698304";https://twitter.com/ABSCBNRedAlert/status/958731388441698304
;2018-01-31 23:53;0;0;"Payo ng Albay Public Safety Emergency Management Office o APSEMO, sumunod sa evacuation notice dahil walang babala kailan sasabog ang bulkan. # RedAlert # BantayMayon pic.twitter.com/3g1Dryelxw";;;# #;"958730010650558466";https://twitter.com/ABSCBNRedAlert/status/958730010650558466
;2018-01-31 23:52;0;0;"Cynthia Aydalla, residente ng Brgy. Matanag: Sanay na kami, sa tanda ko ba naman nitong 43 years old. Buhay na namin ‘yang si Mayon. # RedAlert # BantayMayon";;;# #;"958729633750380545";https://twitter.com/ABSCBNRedAlert/status/958729633750380545
;2018-01-31 23:50;0;0;"77 ang nasawi dahil sa pagsabog ng Mayon noong 1993. # RedAlert # BantayMayon";;;# #;"958729313112567809";https://twitter.com/ABSCBNRedAlert/status/958729313112567809
;2018-01-31 23:50;0;0;"Arnulfo Arias: Yung 1993 Mayon Eruption, kasalukuyan pong nasa taas po ako, mga 3 kilometers lang po galing sa crater nang biglaan pong pumutok yung Mayon. # RedAlert # BantayMayon";;;# #;"958729264341200896";https://twitter.com/ABSCBNRedAlert/status/958729264341200896
;2018-01-31 23:48;0;0;"Piniling bantayan ni Arnulfo ang kanyang mga alagang baboy kaysa lumikas at manatili sa evacuation area. # RedAlert # BantayMayon";;;# #;"958728796181471233";https://twitter.com/ABSCBNRedAlert/status/958728796181471233
;2018-01-31 23:46;0;0;"Nakataas pa rin sa alert level 4 o ang pagbabadya ng mapaminsalang pagsabog ng Bulkang Mayon. # RedAlert # BantayMayon";;;# #;"958728280294608896";https://twitter.com/ABSCBNRedAlert/status/958728280294608896
;2018-01-31 23:44;0;1;"# RedAlert na, Kapamilya! # BantayMayon pic.twitter.com/yLrNQcRkX9";;;# #;"958727699006046213";https://twitter.com/ABSCBNRedAlert/status/958727699006046213
;2018-01-31 23:44;27;131;"Pagkatapos manood ng pambihirang # LaLunaSangre, nood naman tayo ng ikalawang yugto ng # BantayMayon special ng # RedAlert. Palabas na po ngayon sa ABS-CBN.pic.twitter.com/37ziITVfV4";;;# # #;"958727582593134593";https://twitter.com/jeffcanoy/status/958727582593134593
;2018-01-31 22:31;5;57;"Inom na po ng kape! Ilang tambling na lang, mapapanood na ang ikalawang yugto ng # BantayMayon special ng # RedAlert. Mamaya, pagkatapos ng Bandila sa ABS-CBN. Nood po tayo!pic.twitter.com/M7R3BAGR7f";;;# #;"958709280357543936";https://twitter.com/jeffcanoy/status/958709280357543936
